Model,Feature,Accuracy,F1-score
Naive Bayes,Count Vector-(i),0.838,0.838252476
Naive Bayes,WordLevel TF-IDF-(ii),0.8452,0.845350771
Naive Bayes,N-Gram Vectors TF-IDF-(iii),0.8376,0.837633281
Naive Bayes,CharLevel Vectors TF-IDF-(iv),0.812,0.812240539
Naive Bayes,(i)+(ii),0.84,0.840234011
Naive Bayes,(i)+(iii),0.8432,0.843419558
Naive Bayes,(i)+(iv),0.8388,0.838983084
Naive Bayes,(ii)+(iii),0.87,0.870002934
Naive Bayes,(ii)+(iv),0.8476,0.847685077
Naive Bayes,(iii)+(iv),0.852,0.851990905
Naive Bayes,(i)+(ii)+(iii),0.8464,0.846570187
Naive Bayes,(i)+(ii)+(iv),0.84,0.840186217
Naive Bayes,(i)+(iii)+(iv),0.8468,0.846957277
Naive Bayes,(ii)+(iii)+(iv),0.8468,0.846957277
Naive Bayes,(i)+(ii)+(iii)+(iv),0.8488,0.84895122
Linear Classifier,Count Vector-(i),0.8484,0.869591987
Linear Classifier,WordLevel TF-IDF-(ii),0.86,0.87642052
Linear Classifier,N-Gram Vectors TF-IDF-(iii),0.8344,0.836427161
Linear Classifier,CharLevel Vectors TF-IDF-(iv),0.8368,0.841215379
Linear Classifier,(i)+(ii),0.87,0.869992448
Linear Classifier,(i)+(iii),0.874,0.873991229
Linear Classifier,(i)+(iv),0.8692,0.869193406
Linear Classifier,(ii)+(iii),0.8852,0.885216265
Linear Classifier,(ii)+(iv),0.8764,0.876407063
Linear Classifier,(iii)+(iv),0.8788,0.878806926
Linear Classifier,(i)+(ii)+(iii),0.8732,0.873191174
Linear Classifier,(i)+(ii)+(iv),0.8696,0.86959399
Linear Classifier,(i)+(iii)+(iv),0.8752,0.875194248
Linear Classifier,(ii)+(iii)+(iv),0.8752,0.875194248
Linear Classifier,(i)+(ii)+(iii)+(iv),0.8744,0.874393166
Support Vector Machine,Count Vector-(i),0.8488,0.848823238
Support Vector Machine,WordLevel TF-IDF-(ii),0.88,0.880012909
Support Vector Machine,N-Gram Vectors TF-IDF-(iii),0.88,0.880012909
Support Vector Machine,CharLevel Vectors TF-IDF-(iv),0.8512,0.851226586
Support Vector Machine,(i)+(ii),0.8504,0.850426729
Support Vector Machine,(i)+(iii),0.8508,0.85082477
Support Vector Machine,(i)+(iv),0.8508,0.850828593
Support Vector Machine,(ii)+(iii),0.8852,0.885202591
Support Vector Machine,(ii)+(iv),0.8768,0.876813253
Support Vector Machine,(iii)+(iv),0.8808,0.880807937
Support Vector Machine,(i)+(ii)+(iii),0.852,0.852022746
Support Vector Machine,(i)+(ii)+(iv),0.8516,0.85162844
Support Vector Machine,(i)+(iii)+(iv),0.852,0.852022746
Support Vector Machine,(ii)+(iii)+(iv),0.852,0.852022746
Support Vector Machine,(i)+(ii)+(iii)+(iv),0.8532,0.853220799
